Insurance_Company,Year_int,Total_Coverage_Sum,Patient_Count,Avg_Treatment_Cost,Avg_Coverage_Pct,Avg_Claim_Amount,Avg_Age,Avg_Length_of_Stay,Avg_Medications,Avg_Admission_Count,Claim_Approved_Rate,Coverage_Growth_Lag1,Coverage_Growth_Lag2,Patient_Count_Growth,Target_Next_Coverage
AXA,2021,8262917.053778292,1150,9193.349324485504,0.7815784076087643,7185.145264155036,54.15466511635477,7.727381546218261,2.1446563400191305,2.3089611364817393,0.8591304347826086,,,,9309037.079659667
AXA,2022,9309037.079659667,1196,9894.687285343147,0.7866266425935768,7783.475819113434,55.448968330463224,7.437264891976589,2.1569496357040134,2.307527358831104,0.8821070234113713,12.660420273770367,,4.0000000000000036,9922532.927948384
AXA,2023,9922532.927948384,1243,10084.707556024961,0.7915977100118723,7982.7296282770585,53.92038857613879,7.3582809846524535,6840.562249258529,2.334941120025744,0.8946098149637972,6.5903255410724615,20.08510872575222,3.9297658862876172,11153862.210131474
AXA,2024,11153862.210131474,1293,10817.460090428518,0.7975019114510143,8626.343549985671,54.478693389752934,7.592049228193348,2.2307383045139213,2.3231209587617943,0.8669760247486465,12.409425003920681,19.817572050526767,4.022526146419958,12803699.12697825
AXA,2025,12803699.12697825,1345,11846.370631271257,0.8036288147859255,9519.478904816542,56.00290161266411,7.330193571368029,2.256522681351301,2.312422192560595,0.8736059479553904,14.79162003048744,29.036600028956382,4.021655065738594,13801882.666889038
AXA,2026,13801882.666889038,1399,12184.881845239463,0.8096232734790251,9865.53442951325,53.24271676033573,7.490642032176555,2.169572948277698,2.4055239366926378,0.8842030021443888,7.796055889875975,23.740838884958325,4.014869888475836,
Allianz,2021,6449508.528836013,1200,7663.004725461188,0.701399352214028,5374.590440696677,55.033307094108736,7.547782832740833,2.22920010559375,2.3174507556850004,0.8933333333333333,,,,7334175.836348295
Allianz,2022,7334175.836348295,1245,8338.591707061963,0.7064863826168176,5890.90428622353,54.2237590535367,7.4170754349325305,2.2494560801542165,2.31164678426506,0.8875502008032129,13.716817390920543,,3.750000000000009,8059690.026567889
Allianz,2023,8059690.026567889,1292,8768.844409510608,0.7114273712901211,6238.150175362143,53.95134633454411,7.717100915648607,2.205625901552245,2.3680908364489164,0.8792569659442725,9.892238833761446,24.965956561382786,3.775100401606424,9068107.90507855
Allianz,2024,9068107.90507855,1342,9419.104850923788,0.7173546644775374,6757.159392755999,54.42099124676872,7.743900018933681,2.1394668583058865,2.3576532414456035,0.8673621460506706,12.511869255350039,23.64181207841869,3.8699690402476783,9879280.687417367
Allianz,2025,9879280.687417367,1393,9803.212343588251,0.7234478505412958,7092.089509990931,53.660218206331365,7.333075877316583,2.1961535352200285,2.2592636305491745,0.8844221105527639,8.945336676954652,22.576434761776156,3.8002980625931437,10946623.115269233
Allianz,2026,10946623.115269233,1445,10386.480070566791,0.7293650588661511,7575.5177268299185,54.08125378677647,7.687505100378547,2.1773856795892734,2.303466371701038,0.8622837370242215,10.803847583875958,20.715624801273357,3.732950466618812,
Bupa,2021,11062786.100752996,1275,10431.570980031023,0.8316959889272413,8676.694980982742,53.79210019617624,7.249991958050981,2.243777431490196,2.3703793084784315,0.8878431372549019,,,,12526132.422875399
Bupa,2022,12526132.422875399,1328,11259.197847364832,0.8377315684721658,9432.328631683282,54.33066105703096,7.730336191861445,2.2402285645813254,2.2468133095135543,0.8765060240963856,13.22764725626213,,4.156862745098033,13957606.71366946
Bupa,2023,13957606.71366946,1384,11969.709120527503,0.842618966880043,10084.975949183136,53.79963905620097,7.6074639636488435,2.275318648378974,2.325160108489162,0.888728323699422,11.42790322238556,26.167193205691873,4.216867469879526,16057808.452748397
Bupa,2024,16057808.452748397,1442,13121.044550401299,0.848687363760565,11135.78949566463,55.12205865487914,7.344619494423718,2.2115228966487517,2.310400811510402,0.8987517337031901,15.047004706201484,28.194465064279562,4.190751445086716,17956512.666236844
Bupa,2025,17956512.666236844,1503,13978.689757788121,0.8547011868369869,11947.114215726444,53.743938931842905,7.529398761544245,2.2244514233639388,2.2289225676141053,0.8576180971390552,11.824180236522075,28.650369899382767,4.23023578363384,20133982.943000562
Bupa,2026,20133982.943000562,1566,14939.718368612963,0.8605929289905391,12856.949516603168,53.96941360381093,7.614934134682631,2.349410774534483,2.347338045470626,0.8856960408684547,12.126353915356614,25.384376094949012,4.191616766467066,
MetLife,2021,7951778.324728417,1300,8363.315647775,0.7313874622491365,6116.752557483398,54.03712298738666,7.646401854797693,2.3405325653765385,2.2622030017246155,0.8623076923076923,,,,8283333.27189809
MetLife,2022,8283333.27189809,1346,8345.284775367534,0.7374057055388585,6154.036606165,54.30028896258346,7.441204556923476,2.1734126531062405,2.37799032988633,0.849925705794948,4.169569794703709,,3.5384615384615348,9809976.491823222
MetLife,2023,9809976.491823222,1395,9471.609473518856,0.742470506605406,7032.241212776504,54.57499570392559,7.543235196103226,2.1571159525326165,2.3540141176265235,0.8695340501792115,18.43030057844466,23.368334619140295,3.6404160475483005,10500648.26342065
MetLife,2024,10500648.26342065,1445,9708.988351116539,0.7484851400286756,7266.884611363772,54.07066425301685,7.406090169116263,2.148193405838754,2.2574377468581313,0.873356401384083,7.040503839872758,26.768390438242907,3.584229390680993,11614684.626571953
MetLife,2025,11614684.626571953,1497,10282.421013431996,0.7544552844248706,7758.640365111525,54.01295596330057,7.667129704993321,2.119245074203407,2.3342188996426185,0.87374749498998,10.60921511895685,18.396661156660098,3.598615916955028,13376902.357080327
MetLife,2026,13376902.357080327,1551,11340.409810056884,0.7605193405842905,8624.695265686865,53.370411141043846,7.480759231838814,2.3159507231073504,2.324490951663443,0.8755641521598968,15.172325268968478,27.39120501425805,3.607214428857719,
